task,caseid,user,LogType,elementId,processId,resourceId,end_timestamp,start_timestamp
A,0,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T11:04:58.647,2020-04-06T11:00:00.000
B,0,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T11:09:18.443,2020-04-06T11:04:58.647
E,0,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T11:09:48.711,2020-04-06T11:09:18.443
F,0,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T11:13:31.806,2020-04-06T11:09:48.711
C,0,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T11:16:13.124,2020-04-06T11:13:31.806
D,0,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T11:40:34.074,2020-04-06T11:16:13.124
H,0,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T12:02:01.712,2020-04-06T11:40:34.074
G,0,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T12:03:15.871,2020-04-06T12:02:01.712
I,0,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:10:26.932,2020-04-06T13:09:26.932
J,0,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:19:22.509,2020-04-06T13:10:26.932
K,0,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:19:24.509,2020-04-06T13:19:22.509
M,0,ABC-000001,MXML.EnactmentLog,Task_0tkh9qf,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:29:36.875,2020-04-06T13:19:24.509
U,0,GHI-000001,MXML.EnactmentLog,Task_1abbjnw,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-04-06T13:32:15.451,2020-04-06T13:29:36.875
V,0,GHI-000002,MXML.EnactmentLog,Task_0oq0sec,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-04-06T14:02:23.444,2020-04-06T13:32:15.451
X,0,GHI-000003,MXML.EnactmentLog,Task_0qw0y7l,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-04-06T14:08:51.274,2020-04-06T14:02:23.444
R,0,DEF-000001,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-04-06T18:16:34.436,2020-04-06T14:08:51.274
S,0,DEF-000003,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-04-06T18:17:30.029,2020-04-06T18:16:34.436
T,0,DEF-000001,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-04-06T18:18:19.910,2020-04-06T18:17:30.029
A,1,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T12:17:49.998,2020-04-06T12:03:15.871
B,1,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T12:19:21.735,2020-04-06T12:17:49.998
E,1,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T12:25:28.675,2020-04-06T12:19:21.735
F,1,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T12:26:34.477,2020-04-06T12:25:28.675
C,1,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T12:26:45.035,2020-04-06T12:26:34.477
D,1,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T12:57:16.568,2020-04-06T12:26:45.035
H,1,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:08:25.654,2020-04-06T12:57:16.568
G,1,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:09:26.932,2020-04-06T13:08:25.654
I,1,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:32:42.658,2020-04-06T13:31:42.658
J,1,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:53:09.507,2020-04-06T13:32:42.658
K,1,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:53:11.507,2020-04-06T13:53:09.507
O,1,ABC-000001,MXML.EnactmentLog,Task_1l1hbv6,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T13:54:44.652,2020-04-06T13:53:11.507
M,1,ABC-000001,MXML.EnactmentLog,Task_0tkh9qf,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T14:03:34.407,2020-04-06T13:54:44.652
BB,1,MNO-000001,MXML.EnactmentLog,Task_1pzwok3,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-04-06T14:18:53.423,2020-04-06T13:54:44.652
U,1,GHI-000001,MXML.EnactmentLog,Task_1abbjnw,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-04-06T14:31:47.648,2020-04-06T14:03:34.407
CC,1,MNO-000002,MXML.EnactmentLog,Task_0t6ryvv,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-04-06T15:47:52.800,2020-04-06T14:18:53.423
V,1,GHI-000002,MXML.EnactmentLog,Task_0oq0sec,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-04-06T15:03:11.326,2020-04-06T14:31:47.648
X,1,GHI-000003,MXML.EnactmentLog,Task_0qw0y7l,Process_1,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,2020-04-06T15:04:43.778,2020-04-06T15:03:11.326
DD,1,MNO-000003,MXML.EnactmentLog,Task_1e72t9f,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-04-06T16:16:39.761,2020-04-06T15:47:52.800
R,1,DEF-000002,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-04-06T18:49:48.498,2020-04-06T16:16:39.761
S,1,DEF-000003,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-04-06T18:49:59.437,2020-04-06T18:49:48.498
T,1,DEF-000001,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-04-06T19:11:00.824,2020-04-06T18:49:59.437
I,1,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-04-06T21:01:13.183,2020-04-06T21:00:13.183
P,1,ABC-000001,MXML.EnactmentLog,Task_0tm4h1h,Process_1,QBP_DEFAULT_RESOURCE,2020-04-07T05:42:18.445,2020-04-07T05:38:30.758
Q,1,DEF-000001,MXML.EnactmentLog,Task_08t6quk,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-04-07T11:44:19.575,2020-04-07T05:42:18.445
